version              n    time(s)  Normalized(ns)
ver2f_local \t   00250  0.0002   3.9360 
ver2f_local \t   00250  0.0002   3.2960 
ver2f_local \t   00250  0.0002   3.6480 
ver2f_local \t   00250  0.0002   3.2000 
ver2f_local \t   00250  0.0002   3.1680 
ver2f_local \t   00250  0.0002   3.1680 
ver2f_local \t   00250  0.0002   3.2640 
ver2f_local \t   00250  0.0002   3.2640 
ver2f_local \t   00250  0.0002   3.2640 
ver2f_local \t   00250  0.0002   3.1840 
ver2f_local \t   00250  0.0002   3.2160 
ver2f_local \t   00250  0.0002   3.1840 
ver2f_local \t   00250  0.0002   3.2000 
ver2f_local \t   00250  0.0002   3.1840 
ver2f_local \t   00250  0.0002   3.2480 
ver2f_local \t   00250  0.0002   3.2320 
ver2f_local \t   00250  0.0002   3.2160 
ver2f_local \t   00250  0.0002   3.2160 
ver2f_local \t   00250  0.0002   3.1680 
ver2f_local \t   00250  0.0002   3.1840 


ver3d_local \t   01000  0.0015   1.4610 
ver3d_local \t   01000  0.0012   1.2310 
ver3d_local \t   01000  0.0013   1.2780 
ver3d_local \t   01000  0.0013   1.3260 
ver3d_local \t   01000  0.0013   1.2610 
ver3d_local \t   01000  0.0013   1.2560 
ver3d_local \t   01000  0.0013   1.3110 
ver3d_local \t   01000  0.0014   1.3830 
ver3d_local \t   01000  0.0013   1.3360 
ver3d_local \t   01000  0.0014   1.3590 
ver3d_local \t   01000  0.0013   1.3140 
ver3d_local \t   01000  0.0013   1.2590 
ver3d_local \t   01000  0.0013   1.3200 
ver3d_local \t   01000  0.0015   1.5260 
ver3d_local \t   01000  0.0019   1.8560 
ver3d_local \t   01000  0.0016   1.6150 
ver3d_local \t   01000  0.0012   1.2370 
ver3d_local \t   01000  0.0013   1.2540 
ver3d_local \t   01000  0.0013   1.3120 
ver3d_local \t   01000  0.0013   1.2820 
ver3d_local \t   01000  0.0013   1.2550 
ver3d_local \t   01000  0.0014   1.3710 
ver3d_local \t   01000  0.0013   1.3140 
ver3d_local \t   01000  0.0013   1.2560 
ver3d_local \t   01000  0.0012   1.2490 
ver3d_local \t   01000  0.0013   1.3250 
ver3d_local \t   01000  0.0012   1.2230 
ver3d_local \t   01000  0.0013   1.2630 
ver3d_local \t   01000  0.0013   1.2700 
ver3d_local \t   01000  0.0013   1.3450 
ver3d_local \t   01000  0.0012   1.2020 
ver3d_local \t   01000  0.0012   1.2480 
ver3d_local \t   01000  0.0013   1.3130 
ver3d_local \t   01000  0.0019   1.8960 
ver3d_local \t   01000  0.0016   1.6010 
ver3d_local \t   01000  0.0015   1.4880 
